name;id;country
Kolobrzeg ;12100;Poland
Koszalin ;12105;Poland
Ustka ;12115;Poland
Leba ;12120;Poland
Darlowek ;12124;Poland
Lebork ;12125;Poland
Hel ;12135;Poland
Military Arifield CEWICE ;12136;Poland
Oksywie ;12142;Poland
Gdanski ;12146;Poland
Gdansk-Swibno ;12155;Poland
Elblag-Milejewo ;12160;Poland
Ketrzyn ;12185;Poland
Suwalki ;12195;Poland
Swinoujscie ;12200;Poland
Szczecin ;12205;Poland
Resko ;12210;Poland
Swidwin ;12212;Poland
Szczecinek ;12215;Poland
Mirowslawiec ;12226;Poland
Pila ;12230;Poland
Chojnice ;12235;Poland
Torun ;12250;Poland
Mlawa ;12270;Poland
Olsztyn ;12272;Poland
Mikolajki ;12280;Poland
Ostroleka ;12285;Poland
Bialystok ;12295;Poland
Gorzow Wlkp ;12300;Poland
Slubice ;12310;Poland
Krzesiny ;12326;Poland
Poznan ;12330;Poland
Powidz ;12336;Poland
Kolo ;12345;Poland
Plock ;12360;Poland
Warszawa-Okecie ;12375;Poland
Mazowiecki ;12376;Poland
Siedlce ;12385;Poland
Terespol ;12399;Poland
Zielona Gora ;12400;Poland
Legnica Bartoszow ;12415;Poland
Leszno-Strzyzewice ;12418;Poland
Wroclaw Ii ;12424;Poland
Kalisz ;12435;Poland
Leczyca ;12452;Poland
Lask ;12454;Poland
Wielun ;12455;Poland
Lodz ;12465;Poland
Tomaszow ;12466;Poland
Sulejow ;12469;Poland
Radom ;12485;Poland
Kozienice ;12488;Poland
Deblin / Irena ;12490;Poland
Lublin Radawiec ;12495;Poland
Wlodawa ;12497;Poland
Jelenia Gora ;12500;Poland
Sniezka ;12510;Poland
Klodzko ;12520;Poland
Opole ;12530;Poland
Raciborz ;12540;Poland
Czestochowa ;12550;Poland
Katowice ;12560;Poland
Krakow ;12566;Poland
Kielce ;12570;Poland
Tarnow ;12575;Poland
Rzeszow-Jasionka ;12580;Poland
Sandomierz ;12585;Poland
Zamosc ;12595;Poland
Bielsko-Biala ;12600;Poland
Zakopane ;12625;Poland
Kasprowy Wierch ;12650;Poland
Nowy Sacz ;12660;Poland
Krosno ;12670;Poland
Lesko ;12690;Poland
Przemysl ;12695;Poland
Helgoland ;10015;Germany
List / Sylt ;10020;Germany
Leck ;10022;Germany
St Peter-Ording ;10028;Germany
